Date;Curahhujan
2014-01;8.823
2014-02;11.293
2014-03;6.377
2014-04;8.197
2014-05;1.645
2014-06;1.583
2014-07;0.097
2014-08;0.194
2014-09;0
2014-10;0.013
2014-11;2.287
2014-12;9.158
2015-01;15.939
2015-02;10.729
2015-03;7.939
2015-04;4.273
2015-05;2.927
2015-06;0.023
2015-07;0
2015-08;0
2015-09;0
2015-10;0
2015-11;4.34
2015-12;5.903
2016-01;9.165
2016-02;14.155
2016-03;4.665
2016-04;4.323
2016-05;11.339
2016-06;4.227
2016-07;2.906
2016-08;1.181
2016-09;3.407
2016-10;5.21
2016-11;3.93
2016-12;11.681
2017-01;14.958
2017-02;8.904
2017-03;7.871
2017-04;3.417
2017-05;5.094
2017-06;3.037
2017-07;0.716
2017-08;0
2017-09;0.377
2017-10;0.858
2017-11;10.72
2017-12;9.39
2018-01;7.845
2018-02;8.779
2018-03;9.019
2018-04;2.093
2018-05;0.119
2018-06;0.497
2018-07;0
2018-08;0.919
2018-09;0
2018-10;0.039
2018-11;4.877
2018-12;4.719
2019-01;12.271
2019-02;12.107
2019-03;7.332
2019-04;9.607
2019-05;0.181
2019-06;0
2019-07;0.055
2019-08;0
2019-09;0
2019-10;0
2019-11;0.837
2019-12;4.297
2020-01;6.745
2020-02;16.407
2020-03;11.617
2020-04;10.907
2020-05;2.939
2020-06;1.05
2020-07;0.7
2020-08;0.452
2020-09;0
2020-10;2.858
2020-11;4.457
2020-12;13.865
2021-01;10.448
2021-02;16.771
2021-03;8.987
2021-04;1.51
2021-05;4.052
2021-06;2.617
2021-07;0
2021-08;0.061
2021-09;2.95
2021-10;0.51
2021-11;4.917
2021-12;15.635
2022-01;7.029
2022-02;8.736
2022-03;8.742
2022-04;1.987
2022-05;4.184
2022-06;2.93
2022-07;0.706
2022-08;0.048
2022-09;0.113
2022-10;11.294
2022-11;10.07
2022-12;7.3
2023-01;5.935
2023-02;11.221
2023-03;4.529
2023-04;6.76
2023-05;0.323
2023-06;0.51
2023-07;1.639
2023-08;0
2023-09;0.167
2023-10;0.032
2023-11;3.307
2023-12;3.926
2024-01;4.407
2024-02;12.707
2024-03;2.852
2024-04;6.457
2024-05;0.916
2024-06;0.357
2024-07;0.413
2024-08;0
2024-09;0.457
2024-10;0.535
2024-11;5.333
2024-12;10.287
