Date;Maks
01/01/2014;34769
01/02/2014;56426
01/03/2014;69516
01/04/2014;65824
01/05/2014;19144
01/06/2014;11657
01/07/2014;15569
01/08/2014;16423
01/09/2014;13930
01/10/2014;20051
01/11/2014;57642
01/12/2014;83879
01/01/2015;80573
01/02/2015;29813
01/03/2015;29799
01/04/2015;22778
01/05/2015;20077
01/06/2015;16859
01/07/2015;46742
01/08/2015;60909
01/09/2015;61012
01/10/2015;22045
01/11/2015;17510
01/12/2015;33009
01/01/2016;33989
01/02/2016;21954
01/03/2016;45491
01/04/2016;31631
01/05/2016;19528
01/06/2016;19949
01/07/2016;40579
01/08/2016;39598
01/09/2016;34949
01/10/2016;35724
01/11/2016;53316
01/12/2016;67921
01/01/2017;101802
01/02/2017;129068
01/03/2017;129062
01/04/2017;63407
01/05/2017;57669
01/06/2017;38181
01/07/2017;40199
01/08/2017;33849
01/09/2017;16424
01/10/2017;15273
01/11/2017;18293
01/12/2017;39752
01/01/2018;40098
01/02/2018;47394
01/03/2018;60096
01/04/2018;35181
01/05/2018;24338
01/06/2018;40853
01/07/2018;49836
01/08/2018;36136
01/09/2018;17791
01/10/2018;22716
01/11/2018;22816
01/12/2018;37692
01/01/2019;35283
01/02/2019;16409
01/03/2019;20005
01/04/2019;21561
01/05/2019;22980
01/06/2019;27194
01/07/2019;75325
01/08/2019;81069
01/09/2019;62282
01/10/2019;43644
01/11/2019;34962
01/12/2019;34510
01/01/2020;76745
01/02/2020;71395
01/03/2020;43788
01/04/2020;50301
01/05/2020;21957
01/06/2020;16625
01/07/2020;21670
01/08/2020;21230
01/09/2020;16560
01/10/2020;17918
01/11/2020;37871
01/12/2020;51261
01/01/2021;75015
01/02/2021;89664
01/03/2021;115071
01/04/2021;67505
01/05/2021;53707
01/06/2021;50201
01/07/2021;58429
01/08/2021;40329
01/09/2021;18194
01/10/2021;20613
01/11/2021;33071
01/12/2021;86232
01/01/2022;69324
01/02/2022;51515
01/03/2022;59896
01/04/2022;41500
01/05/2022;61855
01/06/2022;96677
01/07/2022;95156
01/08/2022;62268
01/09/2022;64045
01/10/2022;55131
01/11/2022;30678
01/12/2022;50644
01/01/2023;60428
01/02/2023;61671
01/03/2023;76698
01/04/2023;46324
01/05/2023;37251
01/06/2023;37694
01/07/2023;33329
01/08/2023;41283
01/09/2023;28470
01/10/2023;66150
01/11/2023;87067
01/12/2023;85501
01/01/2024;70646
01/02/2024;69647
01/03/2024;54214
01/04/2024;32963
01/05/2024;26993
01/06/2024;33204
01/07/2024;72530
01/08/2024;67849
01/09/2024;32930
01/10/2024;35877
01/11/2024;31321
01/12/2024;56942
