Date;Maks
2014-01;34769
2014-02;56426
2014-03;69516
2014-04;65824
2014-05;19144
2014-06;11657
2014-07;15569
2014-08;16423
2014-09;13930
2014-10;20051
2014-11;57642
2014-12;83879
2015-01;80573
2015-02;29813
2015-03;29799
2015-04;22778
2015-05;20077
2015-06;16859
2015-07;46742
2015-08;60909
2015-09;61012
2015-10;22045
2015-11;17510
2015-12;33009
2016-01;33989
2016-02;21954
2016-03;45491
2016-04;31631
2016-05;19528
2016-06;19949
2016-07;40579
2016-08;39598
2016-09;34949
2016-10;35724
2016-11;53316
2016-12;67921
2017-01;101802
2017-02;111342
2017-03;110250
2017-04;63407
2017-05;57669
2017-06;38181
2017-07;40199
2017-08;33849
2017-09;16424
2017-10;15273
2017-11;18293
2017-12;39752
2018-01;40098
2018-02;47394
2018-03;60096
2018-04;35181
2018-05;24338
2018-06;40853
2018-07;49836
2018-08;36136
2018-09;17791
2018-10;22716
2018-11;22816
2018-12;37692
2019-01;35283
2019-02;16409
2019-03;20005
2019-04;21561
2019-05;22980
2019-06;27194
2019-07;75325
2019-08;81069
2019-09;62282
2019-10;43644
2019-11;34962
2019-12;34510
2020-01;76745
2020-02;71395
2020-03;43788
2020-04;50301
2020-05;21957
2020-06;16625
2020-07;21670
2020-08;21230
2020-09;16560
2020-10;17918
2020-11;37871
2020-12;51261
2021-01;75015
2021-02;89664
2021-03;96750
2021-04;67505
2021-05;53707
2021-06;50201
2021-07;58429
2021-08;40329
2021-09;18194
2021-10;20613
2021-11;33071
2021-12;86232
2022-01;69324
2022-02;51515
2022-03;59896
2022-04;41500
2022-05;61855
2022-06;96677
2022-07;95156
2022-08;62268
2022-09;64045
2022-10;55131
2022-11;30678
2022-12;50644
2023-01;60428
2023-02;61671
2023-03;76698
2023-04;46324
2023-05;37251
2023-06;37694
2023-07;33329
2023-08;41283
2023-09;28470
2023-10;66150
2023-11;87067
2023-12;85501
2024-01;70646
2024-02;69647
2024-03;54214
2024-04;32963
2024-05;26993
2024-06;33204
2024-07;72530
2024-08;67849
2024-09;32930
2024-10;35877
2024-11;31321
2024-12;56942
